"n"	"x"	"y0"	"y1"	"y2"
0	-5.0	-3.397319875398137	-2.0402741107145785	-0.5421431561038956
1	-4.95	-3.9463399672699677	-2.075357592016616	-1.3272516328127504
2	-4.9	-3.1582007396485317	-0.29099525918368424	1.0703061386780444
3	-4.85	-3.279360526075304	-3.5840175692871856	-1.9295298015852724
4	-4.8	-3.349419486028179	-5.420562340068895	1.1982069169062632
5	-4.75	-3.250913498284217	5.016791645072114	-1.78290573748152
6	-4.7	-3.673548178153313	1.6729930775535928	0.9101483003668314
7	-4.65	-3.556232796769896	-0.7881149670035994	-2.5534737882485037
8	-4.6	-3.6546866843999086	-1.1710241006817348	2.03450983222815
9	-4.55	-2.7032382658619643	-2.4812312475444545	-2.085783047230166
10	-4.5	-3.693071696546469	-3.4769886950251703	2.160515688811998
11	-4.45	-3.7539995586414854	-0.7714171821852479	-2.5233217591058628
12	-4.4	-3.1043943409544834	-2.476864479229021	1.7638423153792981
13	-4.35	-3.0248985611045547	-1.8144754700545134	-2.680656117516026
14	-4.3	-3.0059503288869007	-0.8932942078288773	2.4353559646912037
15	-4.25	-3.3791491687245943	-2.03054382285153	-2.467631149125081
16	-4.2	-2.7470074271406935	-3.0942907779189466	2.5205289808796216
17	-4.15	-3.2017952326802206	-2.867503123721841	-2.683052289400843
18	-4.1	-3.262914332480572	-3.1237956445815485	2.937817160909939
19	-4.05	-2.8903595593183056	-3.515454067928782	-3.0296318122753303
20	-4.0	-3.071416355234277	4.178445280968713	2.6026080508562357
21	-3.95	-2.143408194557652	-4.06514344559784	-3.2221353551713916
22	-3.9	-3.019699542589255	-1.4352009276329092	3.0382985084156764
23	-3.8499999999999996	-3.0088009275677052	-0.867690033611457	-3.711741346564134
24	-3.8	-2.5361520444601444	-1.9369276596214147	3.0025038870060126
25	-3.75	-2.563654083953687	-2.0631952477420357	-4.083032000987198
26	-3.7	-3.4684685450378554	-4.543090940858162	3.371530569679416
27	-3.65	-2.686395957913928	-2.1917191939186993	-3.725920104073767
28	-3.5999999999999996	-2.5544671474598935	-1.8074801317578382	2.705946499648602
29	-3.55	-2.341402324925705	-0.26280793900954125	-3.521257293425226
30	-3.5	-2.722230775909849	-5.034583297342006	3.3249188657694857
31	-3.45	-1.9430920140729322	-2.3503077058846373	-4.006990628481638
32	-3.4	-2.424611545847229	2.2686435141526884	3.8223201171915835
33	-3.3499999999999996	-2.6007614034243467	-5.955346661096117	-3.98338525974274
34	-3.3	-1.8097877058847094	-1.1110414518939575	3.634475454985586
35	-3.25	-2.260935944930915	-4.769192137223967	-4.211130513398092
36	-3.2	-2.1768378912249347	-5.780708713947504	4.05284852969308
37	-3.15	-2.383446106906429	-1.7518791556392759	-4.065608508848434
38	-3.0999999999999996	-1.8129491283628216	-3.0259033547109344	3.861067260776632
39	-3.05	-2.883149769496985	-2.2034459807077154	-4.032392714569423
40	-3.0	-2.5613491065918677	-2.602776200948016	4.094751945419821
41	-2.9499999999999997	-2.189889446215914	-6.177178712587628	-3.923305515288315
42	-2.9	-2.7984106826544823	-1.2532560158935446	4.114437170285166
43	-2.85	-2.4496862243267854	-7.8828651086158255	-3.8640520439166783
44	-2.8	-2.1705849654595872	-2.3296469515110987	3.877148120128011
45	-2.75	-2.185705529829559	-4.933302401522072	-4.202084060534292
46	-2.6999999999999997	-1.7285008372643933	-3.3159177275135168	3.6063062208808994
47	-2.65	-1.515587457087857	3.0260362415669704	-4.665602573929345
48	-2.5999999999999996	-2.0049156332170766	2.543173319745179	4.095475002971624
49	-2.55	-2.0238352319498625	-1.965109041542465	-4.569089038469686
50	-2.5	-1.8927602366216125	1.0751352797986158	3.6748290785536417
51	-2.4499999999999997	-2.091601678302882	-0.5219029332459014	-4.321350893670095
52	-2.4	-1.4404807528345112	-0.7944590590169114	4.177558245311163
53	-2.3499999999999996	-2.3076789368702295	1.5069498889366302	-4.338925953790227
54	-2.3	-1.7386998707775352	1.773453654619499	4.395081662286992
55	-2.25	-1.6242631597965347	-4.544250453879087	-4.235716661013811
56	-2.1999999999999997	-2.3062408213885526	-4.419865245793119	3.9375805725789395
57	-2.15	-1.6699046353999376	-4.123994455248348	-4.650632412318161
58	-2.0999999999999996	-0.9671906596188712	0.854205589944854	4.4544625398339734
59	-2.05	-1.545641808416	-2.3608392575032493	-4.227608253123028
60	-2.0	-1.709601635182859	-2.544915239911354	4.553064862863102
61	-1.9499999999999997	-1.1381013843422192	1.4932304284947462	-4.476721226043852
62	-1.9	-1.8550454683727908	-1.6442814455924306	4.217034882751319
63	-1.8499999999999996	-1.3611424396133813	0.42567193970682315	-5.120164472759823
64	-1.7999999999999998	-1.4729554588872045	-3.3953091577438466	4.292460452811939
65	-1.75	-1.6538469010730592	-2.353928690112575	-5.288186501481234
66	-1.6999999999999997	-1.0786998270646384	4.753603099054867	4.489281740264161
67	-1.65	-0.958162358158982	-1.1003034264626854	-5.4809244697838775
68	-1.5999999999999996	-1.1431901290604172	-4.152162908285538	4.377047749353963
69	-1.5499999999999998	-1.3186180687576474	-2.771857352084538	-5.075825277575451
70	-1.5	-1.0624128748803316	-3.0898474591439076	4.613477623155616
71	-1.4499999999999997	-0.9851985845214929	-5.619556838538131	-4.684720326644765
72	-1.4	-0.8211747231272702	-2.7299066835460883	4.680234947314586
73	-1.3499999999999996	-1.0640762917680324	1.1331162259794572	-4.716587105253348
74	-1.2999999999999998	-1.0998624743514331	-4.862506942910664	4.479884958177109
75	-1.25	-1.027133436199771	4.594432945365927	-5.0794223661571785
76	-1.1999999999999997	-0.855302182878963	4.029241289981048	4.387579591762794
77	-1.15	-0.7097064223937218	-3.855629895685065	-5.351989619804607
78	-1.0999999999999996	-1.3000453281611362	0.6931573574712937	4.475518900842509
79	-1.0499999999999998	-1.1618916805289152	0.9714288918291147	-5.082971132816595
80	-1.0	-0.8187847047419006	-5.257412797238152	4.361027902259654
81	-0.9500000000000002	-1.0966229627098498	-2.537261201695088	-5.578577235192845
82	-0.8999999999999995	-0.7637688578522023	-1.8921584340397104	5.33283713975917
83	-0.8499999999999996	-0.5253764813743309	-0.8905719953558364	-5.324986233001433
84	-0.7999999999999998	-0.5906627819195631	-6.301117232520647	4.552045438225872
85	-0.75	-0.2782627164788284	1.677735102110058	-5.67935559141292
86	-0.7000000000000002	-0.630571064486651	-3.0926401596272797	4.7774621701221145
87	-0.6499999999999995	-0.6666856750940845	1.4869895538690163	-5.406789337931335
88	-0.5999999999999996	-0.4262746537432441	-2.613425560491298	5.095119822112468
89	-0.5499999999999998	-0.8835787608972409	-0.37827584085176197	-4.844729145590853
90	-0.5	-0.583871612899308	-2.935254292408866	4.690225348301095
91	-0.4500000000000002	-0.6676121792573428	-2.9466922391036454	-5.180760201651865
92	-0.39999999999999947	-0.21939201237758943	-1.0165824165125383	4.909567070171013
93	-0.34999999999999964	-0.4230379120549362	0.6631261199950705	-5.238340189941637
94	-0.2999999999999998	-0.28025151611777055	-4.785548242862543	4.644434194881166
95	-0.25	-0.5186475209058385	0.0714967730786692	-5.036307203869323
96	-0.1999999999999993	0.07267970186246181	-2.520044162527749	4.886372335979458
97	-0.14999999999999947	-0.3258443265164973	-7.549864858948774	-5.589682655089785
98	-0.09999999999999964	-0.7454344536755895	-0.05106358469132405	4.589261427877857
99	-0.04999999999999982	-0.08692759774752881	-2.45190152604673	-4.806450093060558
100	0.0	-0.005511337413764894	-0.7254195316049252	4.788338546682546
101	0.05000000000000071	-0.12113274178930222	-7.057492891141734	-5.242581003803952
102	0.10000000000000053	0.08494160567505954	0.40613123507310805	4.559198475988968
103	0.15000000000000036	0.16242681877290197	-0.07737745858284475	-4.823421299694695
104	0.20000000000000018	-0.1562236868548766	-4.344111044470643	4.725789688526098
105	0.25	-0.2379152028169249	-0.39763135516171044	-5.152859144431164
106	0.3000000000000007	0.08214840354297911	-8.65538810182311	4.761569926891668
107	0.35000000000000053	0.5555989590241692	-1.3137067151717163	-5.102275815383585
108	0.40000000000000036	-0.13984534028187473	-1.4255111924668464	4.844972405957307
109	0.4500000000000002	0.1239907330291111	-1.2333834654024962	-5.027336472875686
110	0.5	-0.041824425291733414	-1.9153102577988794	4.9648352638168465
111	0.5500000000000007	0.5033989525781452	-1.4409574339636444	-5.00085090288785
112	0.6000000000000005	0.395523904370635	-3.3862897371859493	5.52344473281172
113	0.6500000000000004	0.32174188457206676	-3.9591932406629664	-5.387752266698122
114	0.7000000000000002	0.5063442044350055	-0.7147408818046979	5.209946734748974
115	0.75	0.3809759435111138	-1.250108114788554	-5.077486320275324
116	0.8000000000000007	0.2294954909382002	-1.7325280492182202	4.70410410003616
117	0.8500000000000005	0.469383293246682	0.5130229139014669	-5.169282568586841
118	0.9000000000000004	0.5599474160457256	-0.82213438957838	5.5586998703760075
119	0.9500000000000002	0.8454031197567525	-0.6885581066926891	-5.459266496272024
120	1.0	1.2114341769774049	-0.38706855162969633	4.802705153491971
121	1.0500000000000007	0.7489727407931015	1.4371745689996702	-5.266955655109015
122	1.1000000000000005	0.5825101676667528	-2.068770982196452	5.107283936415567
123	1.1500000000000004	0.873600291941677	-5.117327607571022	-5.257481113648016
124	1.2000000000000002	0.6029177044812748	1.950226912314279	4.493336091291858
125	1.25	0.9753262015816084	-1.9324067662670916	-5.108640007762771
126	1.3000000000000007	1.243319824333211	-1.2722932188448284	4.593623524009907
127	1.3500000000000005	1.5598550789691497	2.1685485883786635	-4.653940249019462
128	1.4000000000000004	0.6443030671862205	1.9172209302381638	4.370343016429654
129	1.4500000000000002	0.9657905671072506	2.9171179320221485	-4.999845128506856
130	1.5	1.3617888012678931	3.913800464487572	4.819738567274738
131	1.5500000000000007	0.3817995186046954	3.7122687504253267	-4.682298406292519
132	1.6000000000000005	0.19522394572544732	-3.8246495629062913	4.721195906982434
133	1.6500000000000004	0.8773330050960519	0.1308000296551301	-4.462754297412052
134	1.7000000000000002	1.1852938704955598	-0.5991076583837989	4.336053771668951
135	1.75	1.0109289654204279	-0.006296783009099027	-5.151041398670702
136	1.8000000000000007	1.22646418988969	2.2031408543194764	4.931932168562803
137	1.8500000000000005	1.5807180910861447	-5.88861234411822	-5.423859701520487
138	1.9000000000000004	1.1952247640757026	-1.2215332757214523	4.241965578570907
139	1.9500000000000002	1.3524528920157008	0.7879252141450013	-5.098219186836145
140	2.0	1.2227292025313863	-0.04445648181604783	4.673317214674355
141	2.0500000000000007	1.000072454134844	-2.523679948284647	-4.976204071537985
142	2.1000000000000005	1.3912827838812463	-2.5075827562432886	4.368557502185503
143	2.1500000000000004	1.410985819898973	-1.195693627879705	-4.566235387734403
144	2.2	1.554154742029372	-0.8905843243343694	3.870885658844914
145	2.25	0.35395846937807285	1.2812104621392435	-4.712594230583859
146	2.3000000000000007	1.0951441415449237	0.8296117533207967	4.299166751122946
